user_id,full_name,email,total_spend,signup_date,region,product_category,payment_method,is_active,device_type,loyalty_score
348540d0,Riley Brown,riley.brown.11@example.com,2907.47,2025-06-20,LATAM,Automotive,Bank Transfer,True,Desktop,6
abe9df6b,Casey Lee,casey.lee.18@example.com,640.85,2025-10-15,LATAM,Electronics,Crypto,False,Mobile,88
3efcfe21,Riley Martinez,riley.martinez.86@example.com,1633.14,2026-01-06,LATAM,Books,Crypto,False,Tablet,36
7b4c6438,Casey Garcia,casey.garcia.34@example.com,3429.13,2025-02-25,APAC,Electronics,Bank Transfer,False,Tablet,28
b5e90c6e,Avery Brown,avery.brown.88@example.com,2011.85,2025-07-10,Europe,Fashion,Crypto,False,Mobile,7
ebf10f9b,Morgan Martinez,morgan.martinez.64@example.com,3419.67,2025-07-03,EMEA,Home & Garden,Credit Card,False,Mobile,25
85ebc355,Taylor Garcia,taylor.garcia.79@example.com,4730.09,2025-04-06,North America,Electronics,PayPal,True,Mobile,73
d96bd264,Jamie Doe,jamie.doe.32@example.com,868.19,2025-04-29,Europe,Automotive,Crypto,False,Smart Watch,3
fa19f253,Riley Martinez,riley.martinez.73@example.com,4564.19,2025-08-14,LATAM,Automotive,Bank Transfer,True,Mobile,82
d89147e8,Jordan Smith,jordan.smith.70@example.com,4574.14,2025-08-12,Europe,Fashion,Apple Pay,False,Desktop,86
44fc9b69,Alex Johnson,alex.johnson.92@example.com,2040.08,2025-05-10,LATAM,Electronics,Apple Pay,True,Smart Watch,97
919bdec2,Taylor Smith,taylor.smith.61@example.com,483.21,2025-07-18,North America,Automotive,Crypto,True,Mobile,87
d782a6ed,Casey Smith,casey.smith.38@example.com,3031.91,2025-04-19,LATAM,Books,Bank Transfer,True,Desktop,20
ecdcf763,Avery Lee,avery.lee.58@example.com,3639.74,2025-10-23,Europe,Home & Garden,Credit Card,False,Smart Watch,87
38d85522,Alex Doe,alex.doe.29@example.com,3350.68,2025-03-04,EMEA,Fashion,Bank Transfer,False,Smart Watch,92
98fc9ecd,Casey Wong,casey.wong.68@example.com,2892.1,2025-08-29,LATAM,Fashion,Bank Transfer,False,Tablet,66
e9390b0a,Riley Wong,riley.wong.73@example.com,1046.37,2026-01-29,APAC,Books,Apple Pay,True,Tablet,24
f59d4ff9,Casey Doe,casey.doe.78@example.com,2112.92,2025-04-03,EMEA,Fashion,Crypto,False,Tablet,47
3cbe04cd,Taylor Doe,taylor.doe.70@example.com,2118.27,2025-11-26,North America,Home & Garden,Credit Card,False,Tablet,26
8d2d894d,Taylor Martinez,taylor.martinez.49@example.com,18.14,2026-01-22,EMEA,Home & Garden,Bank Transfer,False,Smart Watch,98
b2cbad28,Alex Martinez,alex.martinez.34@example.com,2785.94,2025-06-28,APAC,Fashion,Credit Card,False,Desktop,83
251df1a2,Jordan Martinez,jordan.martinez.10@example.com,1850.26,2025-03-04,APAC,Electronics,Credit Card,True,Smart Watch,6
145a4e15,Riley Brown,riley.brown.82@example.com,2891.31,2025-09-06,Europe,Home & Garden,PayPal,True,Smart Watch,47
3b4880c2,Alex Garcia,alex.garcia.74@example.com,2475.42,2025-10-23,EMEA,Fashion,PayPal,False,Tablet,10
512a4ef4,Morgan Martinez,morgan.martinez.60@example.com,4074.16,2025-03-19,EMEA,Home & Garden,Crypto,False,Desktop,3
28a47662,Morgan Doe,morgan.doe.83@example.com,3771.9,2025-12-18,Europe,Fashion,PayPal,True,Desktop,96
66646fe3,Casey Brown,casey.brown.18@example.com,2326.15,2026-01-11,Europe,Home & Garden,PayPal,False,Desktop,27
25452a51,Avery Doe,avery.doe.14@example.com,1127.77,2025-12-16,APAC,Fashion,Credit Card,True,Mobile,23
50dee4b3,Jordan Doe,jordan.doe.39@example.com,4742.07,2025-10-16,APAC,Electronics,Bank Transfer,True,Tablet,77
13c5e82a,Riley Garcia,riley.garcia.32@example.com,2390.18,2025-09-10,Europe,Home & Garden,Apple Pay,False,Desktop,22
459676a9,Riley Martinez,riley.martinez.76@example.com,2641.98,2025-11-19,LATAM,Home & Garden,Credit Card,True,Desktop,60
3cf406be,Jordan Martinez,jordan.martinez.31@example.com,3234.21,2025-05-02,EMEA,Electronics,Credit Card,False,Desktop,83
15e3d977,Riley Brown,riley.brown.19@example.com,4698.56,2025-12-13,North America,Fashion,Credit Card,True,Tablet,7
d7dd3cff,Casey Doe,casey.doe.33@example.com,3848.44,2025-10-12,EMEA,Home & Garden,PayPal,False,Smart Watch,28
6105b590,Casey Doe,casey.doe.44@example.com,2468.62,2025-12-02,APAC,Fashion,Apple Pay,False,Tablet,23
cf4ef78f,Alex Wong,alex.wong.80@example.com,3314.25,2025-06-22,Europe,Fashion,Bank Transfer,False,Tablet,59
a9c9ba4a,Jamie Johnson,jamie.johnson.22@example.com,4559.78,2025-08-19,EMEA,Home & Garden,PayPal,True,Mobile,8
ccedb1a1,Avery Wong,avery.wong.81@example.com,2110.46,2026-01-10,LATAM,Electronics,Apple Pay,True,Mobile,50
