user_id,full_name,email,total_spend,signup_date,region,product_category,payment_method,is_active,device_type,loyalty_score
180d528c,Sofia Rossi,sofia.rossi.728@example.com,9031.55,2026-10-30,EMEA,Home & Garden,Crypto,False,Tablet,94
7cec822f,Marco Kim,marco.kim.334@example.com,8767.06,2026-11-11,APAC,Fashion,Apple Pay,False,Desktop,94
19b1796e,Sofia Tanaka,sofia.tanaka.115@example.com,3704.64,2027-03-22,Europe,Fashion,Credit Card,True,Tablet,57
d968c064,Sofia Kowalski,sofia.kowalski.429@example.com,7593.26,2026-11-27,APAC,Fashion,Credit Card,False,Smart Watch,92
a738572b,Valentina Schmidt,valentina.schmidt.965@example.com,7234.6,2027-05-15,APAC,Home & Garden,Crypto,False,Mobile,52
747a99f0,Ana Tanaka,ana.tanaka.624@example.com,6824.33,2026-11-02,APAC,Automotive,Crypto,False,Tablet,60
5d397fc3,Leo Müller,leo.müller.980@example.com,6837.56,2026-12-25,North America,Home & Garden,PayPal,True,Desktop,83
719078cd,Lucas Silva,lucas.silva.168@example.com,6203.79,2027-04-02,North America,Home & Garden,Apple Pay,False,Desktop,74
e525461f,Diego Kowalski,diego.kowalski.989@example.com,9918.71,2026-08-05,EMEA,Home & Garden,PayPal,False,Tablet,79
9e30da42,Lucas Tanaka,lucas.tanaka.607@example.com,6589.68,2026-06-28,EMEA,Fashion,Bank Transfer,False,Mobile,86
67a7dd52,Ana Rossi,ana.rossi.517@example.com,9010.1,2026-11-15,North America,Home & Garden,Crypto,False,Smart Watch,94
6580fa84,Sofia Schmidt,sofia.schmidt.322@example.com,4614.2,2026-09-29,LATAM,Home & Garden,Credit Card,True,Tablet,92
72da2524,Leo Rossi,leo.rossi.708@example.com,9043.84,2027-02-28,APAC,Books,Credit Card,False,Smart Watch,96
0cc9e943,Elena Dubois,elena.dubois.981@example.com,995.93,2027-03-16,APAC,Automotive,Bank Transfer,True,Mobile,98
ceed6b94,Ana Tanaka,ana.tanaka.392@example.com,7248.78,2027-04-20,EMEA,Automotive,PayPal,True,Desktop,61
da2d9b9f,Diego Rossi,diego.rossi.404@example.com,8008.3,2027-03-16,EMEA,Home & Garden,PayPal,False,Mobile,62
abeead3a,Sofia Rossi,sofia.rossi.512@example.com,5254.44,2027-05-26,EMEA,Books,PayPal,False,Mobile,59
ed5bc077,Ana Kim,ana.kim.742@example.com,8373.45,2027-02-08,APAC,Books,PayPal,True,Smart Watch,76
